目标,延迟(ms),丢包率(%),速度(Mbps),国家代码,国家名称,ISP,注释
162.159.135.174,1.53,0.00,9.66,CA,加拿大·CA,Cloudflare,
172.67.87.212,1.80,0.00,12.57,CA,加拿大·CA,Cloudflare,
208.86.168.56:443,1.86,0.00,10.09,US,美国·US,Cloudflare,208.86.168.56:443#🇺🇸美国·US
108.162.195.126,1.87,0.00,11.44,CA,加拿大·CA,Cloudflare,
198.41.223.153:443,1.91,0.00,11.05,US,美国·US,Cloudflare,198.41.223.153:443#🇺🇸美国·US
172.67.143.83,1.93,0.00,11.99,CA,加拿大·CA,Cloudflare,
172.67.77.86:443,1.98,0.00,10.69,US,美国·US,Cloudflare,172.67.77.86:443#🇺🇸美国·US
172.67.96.159,1.99,0.00,9.92,CA,加拿大·CA,Cloudflare,
45.205.0.252:2053,2.00,0.00,12.44,US,美国·US,Cloudflare,45.205.0.252:2053#🇺🇸美国·US
104.19.198.79,2.03,0.00,10.55,CA,加拿大·CA,Cloudflare,
162.159.247.54,2.04,0.00,9.88,US,美国·US,Cloudflare,
172.67.204.114,2.08,0.00,9.95,CA,加拿大·CA,Cloudflare,
162.159.2.86:443,2.09,0.00,10.80,US,美国·US,Cloudflare,162.159.2.86:443#🇺🇸美国·US
66.179.48.156:443,2.10,0.00,11.55,US,美国·US,Cloudflare,66.179.48.156:443#🇺🇸美国·US
104.21.92.20,2.10,0.00,10.17,CA,加拿大·CA,Cloudflare,
45.205.0.218:2083,2.11,0.00,11.70,US,美国·US,Cloudflare,45.205.0.218:2083#🇺🇸美国·US
104.26.14.187:443,2.13,0.00,12.29,US,美国·US,Cloudflare,104.26.14.187:443#🇺🇸美国·US
162.159.153.137:443,2.14,0.00,10.51,US,美国·US,Cloudflare,162.159.153.137:443#🇺🇸美国·US
209.94.90.121:443,2.14,0.00,10.79,US,美国·US,Cloudflare,209.94.90.121:443#🇺🇸美国·US
216.24.57.248:443,2.14,0.00,10.58,US,美国·US,Cloudflare,216.24.57.248:443#🇺🇸美国·US
104.24.58.224,2.15,0.00,11.09,CA,加拿大·CA,Cloudflare,
173.245.58.99,2.16,0.00,9.50,CA,加拿大·CA,Cloudflare,
199.68.156.95:443,2.17,0.00,12.05,US,美国·US,Cloudflare,199.68.156.95:443#🇺🇸美国·US
162.159.43.202:443,2.18,0.00,10.92,US,美国·US,Cloudflare,162.159.43.202:443#🇺🇸美国·US
173.245.59.67,2.19,0.00,11.11,CA,加拿大·CA,Cloudflare,
172.66.161.206,2.22,0.00,11.55,CA,加拿大·CA,Cloudflare,
160.153.138.122:2053,2.22,0.00,9.55,US,美国·US,Cloudflare,160.153.138.122:2053#🇺🇸美国·US
172.67.110.93,2.24,0.00,10.13,CA,加拿大·CA,Cloudflare,
162.159.21.218,2.25,0.00,12.41,CA,加拿大·CA,Cloudflare,
172.64.158.195:443,2.25,0.00,12.07,US,美国·US,Cloudflare,172.64.158.195:443#🇺🇸美国·US
216.24.57.227:443,2.26,0.00,10.68,US,美国·US,Cloudflare,216.24.57.227:443#🇺🇸美国·US
209.102.207.22:443,2.27,0.00,11.32,US,美国·US,Cloudflare,209.102.207.22:443#🇺🇸美国·US
199.34.230.154:2083,2.27,0.00,10.09,US,美国·US,Cloudflare,199.34.230.154:2083#🇺🇸美国·US
104.19.35.202:443,2.28,0.00,12.71,US,美国·US,Cloudflare,104.19.35.202:443#🇺🇸美国·US
45.205.0.175:2096,2.28,0.00,11.80,US,美国·US,Cloudflare,45.205.0.175:2096#🇺🇸美国·US
104.19.32.130:443,2.28,0.00,10.20,US,美国·US,Cloudflare,104.19.32.130:443#🇺🇸美国·US
172.67.121.56,2.30,0.00,11.65,CA,加拿大·CA,Cloudflare,
216.24.57.118:443,2.32,0.00,10.98,US,美国·US,Cloudflare,216.24.57.118:443#🇺🇸美国·US
104.17.30.173,2.32,0.00,11.90,CA,加拿大·CA,Cloudflare,
104.25.7.227,2.33,0.00,12.31,CA,加拿大·CA,Cloudflare,
172.67.116.61,2.34,0.00,12.01,CA,加拿大·CA,Cloudflare,
172.67.246.134,2.34,0.00,11.15,CA,加拿大·CA,Cloudflare,
162.159.25.242:443,2.34,0.00,10.83,US,美国·US,Cloudflare,162.159.25.242:443#🇺🇸美国·US
172.64.229.112:443,2.34,0.00,13.29,US,美国·US,Cloudflare,172.64.229.112:443#🇺🇸美国·US
108.162.195.32:443,2.36,0.00,10.84,US,美国·US,Cloudflare,108.162.195.32:443#🇺🇸美国·US
104.16.132.198,2.37,0.00,11.69,CA,加拿大·CA,Cloudflare,
208.86.168.50:443,2.38,0.00,10.92,US,美国·US,Cloudflare,208.86.168.50:443#🇺🇸美国·US
66.179.48.115:443,2.38,0.00,11.73,US,美国·US,Cloudflare,66.179.48.115:443#🇺🇸美国·US
209.94.90.180:443,2.40,0.00,12.36,US,美国·US,Cloudflare,209.94.90.180:443#🇺🇸美国·US
135.84.74.53:443,2.40,0.00,13.28,US,美国·US,Cloudflare,135.84.74.53:443#🇺🇸美国·US
66.179.48.181:443,2.41,0.00,11.77,US,美国·US,Cloudflare,66.179.48.181:443#🇺🇸美国·US
198.41.214.106,2.43,0.00,11.97,CA,加拿大·CA,Cloudflare,
104.21.72.246,2.44,0.00,11.01,CA,加拿大·CA,Cloudflare,
104.21.103.44,2.45,0.00,11.78,CA,加拿大·CA,Cloudflare,
45.205.0.79:2083,2.46,0.00,12.04,US,美国·US,Cloudflare,45.205.0.79:2083#🇺🇸美国·US
172.67.154.168,2.47,0.00,12.53,CA,加拿大·CA,Cloudflare,
172.67.109.65,2.48,0.00,12.07,CA,加拿大·CA,Cloudflare,
27.50.48.8:443,2.48,0.00,13.68,US,美国·US,Cloudflare,27.50.48.8:443#🇺🇸美国·US
209.94.90.1:443,2.50,0.00,12.39,US,美国·US,Cloudflare,209.94.90.1:443#🇺🇸美国·US
45.205.0.0:2096,2.51,0.00,12.95,US,美国·US,Cloudflare,45.205.0.0:2096#🇺🇸美国·US
162.159.10.79,2.52,0.00,13.05,CA,加拿大·CA,Cloudflare,
27.50.48.2:443,2.53,0.00,12.86,US,美国·US,Cloudflare,27.50.48.2:443#🇺🇸美国·US
104.27.64.72,2.54,0.00,13.01,CA,加拿大·CA,Cloudflare,
104.19.245.15,2.54,0.00,12.95,CA,加拿大·CA,Cloudflare,
172.65.226.24,2.55,0.00,12.96,CA,加拿大·CA,Cloudflare,
172.67.163.160,2.56,0.00,12.95,CA,加拿大·CA,Cloudflare,
172.65.154.122,2.57,0.00,14.53,CA,加拿大·CA,Cloudflare,
104.17.231.237:443,2.59,0.00,14.40,US,美国·US,Cloudflare,104.17.231.237:443#🇺🇸美国·US
162.159.255.8,2.61,0.00,14.26,US,美国·US,Cloudflare,
162.159.46.246:443,2.61,0.00,14.14,US,美国·US,Cloudflare,162.159.46.246:443#🇺🇸美国·US
135.84.75.12:443,2.61,0.00,14.54,US,美国·US,Cloudflare,135.84.75.12:443#🇺🇸美国·US
198.41.200.129,2.62,0.00,13.62,CA,加拿大·CA,Cloudflare,
172.67.161.77,2.63,0.00,14.57,CA,加拿大·CA,Cloudflare,
193.124.18.13:443,2.64,0.00,13.73,US,美国·US,Cloudflare,193.124.18.13:443#🇺🇸美国·US
172.67.65.254,2.66,0.00,13.75,CA,加拿大·CA,Cloudflare,
172.67.78.86:443,2.66,0.00,15.30,US,美国·US,Cloudflare,172.67.78.86:443#🇺🇸美国·US
172.64.66.209,2.67,0.00,14.84,CA,加拿大·CA,Cloudflare,
172.64.48.252:443,2.67,0.00,13.85,US,美国·US,Cloudflare,172.64.48.252:443#🇺🇸美国·US
66.179.48.160:443,2.67,0.00,14.46,US,美国·US,Cloudflare,66.179.48.160:443#🇺🇸美国·US
172.65.223.119,2.68,0.00,14.69,CA,加拿大·CA,Cloudflare,
27.50.49.104:443,2.69,0.00,13.61,US,美国·US,Cloudflare,27.50.49.104:443#🇺🇸美国·US
172.64.144.44,2.71,0.00,14.34,CA,加拿大·CA,Cloudflare,
192.0.54.223:443,2.72,0.00,14.59,US,美国·US,Cloudflare,192.0.54.223:443#🇺🇸美国·US
172.67.217.190,2.72,0.00,14.46,CA,加拿大·CA,Cloudflare,
104.16.181.201,2.74,0.00,13.33,CA,加拿大·CA,Cloudflare,
173.245.49.18,2.75,0.00,15.95,CA,加拿大·CA,Cloudflare,
162.159.235.171,2.76,0.00,15.36,CA,加拿大·CA,Cloudflare,
198.41.216.5,2.77,0.00,15.62,CA,加拿大·CA,Cloudflare,
173.245.59.44,2.78,0.00,14.86,CA,加拿大·CA,Cloudflare,
104.17.162.131,2.78,0.00,16.02,UN,未知·UN,Cloudflare,
209.94.90.125:443,2.79,0.00,15.20,US,美国·US,Cloudflare,209.94.90.125:443#🇺🇸美国·US
172.67.94.109,2.80,0.00,15.38,UN,未知·UN,Cloudflare,
161.145.150.210:443,2.80,0.00,15.63,US,美国·US,Cloudflare,161.145.150.210:443#🇺🇸美国·US
173.245.58.111:443,2.82,0.00,15.74,US,美国·US,Cloudflare,173.245.58.111:443#🇺🇸美国·US
104.17.115.190:443,2.85,0.00,16.30,US,美国·US,Cloudflare,104.17.115.190:443#🇺🇸美国·US
162.159.242.229,2.89,0.00,16.74,UN,未知·UN,Cloudflare,
172.67.89.203,2.93,0.00,15.61,UN,未知·UN,Cloudflare,
209.102.207.2:443,2.93,0.00,16.28,US,美国·US,Cloudflare,209.102.207.2:443#🇺🇸美国·US
45.205.0.68:2087,2.95,0.00,16.59,US,美国·US,Cloudflare,45.205.0.68:2087#🇺🇸美国·US
27.50.48.102:443,2.96,0.00,16.50,US,美国·US,Cloudflare,27.50.48.102:443#🇺🇸美国·US
162.159.153.148:443,3.00,0.00,16.39,US,美国·US,Cloudflare,162.159.153.148:443#🇺🇸美国·US
162.159.153.116:443,3.03,0.00,16.23,US,美国·US,Cloudflare,162.159.153.116:443#🇺🇸美国·US
198.41.209.118,3.06,0.00,16.25,UN,未知·UN,Cloudflare,
216.24.57.119:443,3.16,0.00,16.47,US,美国·US,Cloudflare,216.24.57.119:443#🇺🇸美国·US
104.19.211.33,3.17,0.00,16.58,UN,未知·UN,Cloudflare,
172.67.146.26,3.25,0.00,16.38,UN,未知·UN,Cloudflare,
172.65.130.224,3.32,0.00,16.46,UN,未知·UN,Cloudflare,
104.27.46.46,3.53,0.00,16.76,UN,未知·UN,Cloudflare,
198.41.223.54:443,3.68,0.00,16.50,US,美国·US,Cloudflare,198.41.223.54:443#🇺🇸美国·US
104.19.61.190:443,4.10,0.00,16.85,US,美国·US,Cloudflare,104.19.61.190:443#🇺🇸美国·US
199.34.230.99:8443,4.32,0.00,16.94,US,美国·US,Cloudflare,199.34.230.99:8443#🇺🇸美国·US
www.shopify.com:443,6.90,0.00,16.65,CA,加拿大·CA,Cloudflare,www.shopify.com:443#🇨🇦加拿大·CA
104.25.254.230,7.53,0.00,17.26,UN,未知·UN,Cloudflare,
104.16.235.253,7.99,0.00,16.96,UN,未知·UN,Cloudflare,
172.67.65.172:443,8.01,0.00,17.48,US,美国·US,Cloudflare,172.67.65.172:443#🇺🇸美国·US
104.25.158.39,8.14,0.00,17.26,UN,未知·UN,Cloudflare,
172.67.67.76,9.59,0.00,17.87,UN,未知·UN,Cloudflare,
20.221.72.207:443,13.68,0.00,17.06,US,美国·US,Cloudflare,20.221.72.207:443#🇺🇸美国·US
45.202.113.208:2096,15.79,0.00,17.30,US,美国·US,Cloudflare,45.202.113.208:2096#🇺🇸美国·US
45.202.113.0:2083,15.80,0.00,17.72,US,美国·US,Cloudflare,45.202.113.0:2083#🇺🇸美国·US
45.202.113.90:2096,15.92,0.00,17.66,US,美国·US,Cloudflare,45.202.113.90:2096#🇺🇸美国·US
45.202.113.231:8443,15.98,0.00,17.80,US,美国·US,Cloudflare,45.202.113.231:8443#🇺🇸美国·US
45.202.113.0:8443,16.01,0.00,17.56,US,美国·US,Cloudflare,45.202.113.0:8443#🇺🇸美国·US
45.202.113.165:2087,16.10,0.00,17.51,US,美国·US,Cloudflare,45.202.113.165:2087#🇺🇸美国·US
45.202.113.67:2096,16.11,0.00,18.08,US,美国·US,Cloudflare,45.202.113.67:2096#🇺🇸美国·US
45.202.113.102:2087,16.19,0.00,17.64,US,美国·US,Cloudflare,45.202.113.102:2087#🇺🇸美国·US
45.202.113.16:2083,16.77,0.00,18.15,US,美国·US,Cloudflare,45.202.113.16:2083#🇺🇸美国·US
ip2.242625.xyz,20.09,0.00,17.95,UN,未知·UN,Cloudflare,
162.159.44.61:443,21.18,0.00,18.02,US,美国·US,Cloudflare,162.159.44.61:443#🇺🇸美国·US
162.159.39.87:443,21.48,0.00,18.76,US,美国·US,Cloudflare,162.159.39.87:443#🇺🇸美国·US
162.159.45.66:443,21.50,0.00,18.17,US,美国·US,Cloudflare,162.159.45.66:443#🇺🇸美国·US
162.159.38.39,21.55,0.00,18.08,UN,未知·UN,Cloudflare,
108.162.198.42:443,21.67,0.00,18.26,US,美国·US,Cloudflare,108.162.198.42:443#🇺🇸美国·US
162.159.38.105:443,22.72,0.00,18.17,US,美国·US,Cloudflare,162.159.38.105:443#🇺🇸美国·US
cf.008500.xyz,26.19,0.00,18.49,UN,未知·UN,Cloudflare,域名05
104.29.154.248,33.03,0.00,18.59,UN,未知·UN,Cloudflare,
104.160.47.72:18888,42.66,0.00,18.41,US,美国·US,Cloudflare,104.160.47.72:18888#🇺🇸美国·US
store.ubi.com,45.08,0.00,18.71,UN,未知·UN,Cloudflare,域名03
64.64.228.98:8443,46.30,0.00,18.83,US,美国·US,Cloudflare,64.64.228.98:8443#🇺🇸美国·US
154.17.225.73:443,46.86,0.00,18.82,US,美国·US,Cloudflare,154.17.225.73:443#🇺🇸美国·US
38.95.119.88:41531,47.25,0.00,19.04,US,美国·US,Cloudflare,38.95.119.88:41531#🇺🇸美国·US
64.64.228.98:2053,48.37,0.00,19.21,US,美国·US,Cloudflare,64.64.228.98:2053#🇺🇸美国·US
80.251.213.77:443,49.21,0.00,19.47,US,美国·US,Cloudflare,80.251.213.77:443#🇺🇸美国·US
128.199.0.28:443,49.21,0.00,19.55,SG,新加坡·SG,Cloudflare,128.199.0.28:443#🇸🇬新加坡·SG
142.147.94.155:843,51.27,0.00,19.39,US,美国·US,Cloudflare,142.147.94.155:843#🇺🇸美国·US
mfa.gov.ua,64.70,0.00,19.61,UN,未知·UN,Cloudflare,域名01
staticdelivery.nexusmods.com:443,73.13,0.00,19.59,GB,英国·GB,Cloudflare,staticdelivery.nexusmods.com:443#🇬🇧英国·GB
77.75.124.55:8000,91.96,0.00,19.60,GB,英国·GB,Cloudflare,77.75.124.55:8000#🇬🇧英国·GB
95.179.228.147:8443,93.42,0.00,19.79,GB,英国·GB,Cloudflare,95.179.228.147:8443#🇬🇧英国·GB
143.20.236.216:8443,96.20,0.00,19.86,NL,荷兰·NL,Cloudflare,143.20.236.216:8443#🇳🇱荷兰·NL
185.138.164.228:700,96.38,0.00,20.16,GB,英国·GB,Cloudflare,185.138.164.228:700#🇬🇧英国·GB
185.193.158.79:8443,97.15,0.00,20.00,NL,荷兰·NL,Cloudflare,185.193.158.79:8443#🇳🇱荷兰·NL
143.20.236.252:8443,97.29,0.00,20.28,NL,荷兰·NL,Cloudflare,143.20.236.252:8443#🇳🇱荷兰·NL
94.159.107.20:16891,99.44,0.00,20.36,DE,德国·DE,Cloudflare,94.159.107.20:16891#🇩🇪德国·DE
